~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~
Running OptimTraj, iteration 1
  -> Transcription via trapezoid method, nGrid = 10

                                            First-order      Norm of
 Iter F-count            f(x)  Feasibility   optimality         step
  188   28933    1.092700e+00    2.582e-05    3.327e-03    1.890e+00
  189   29086    1.092652e+00    8.837e-05    5.407e-03    3.165e+00
  190   29239    1.092559e+00    2.262e-04    7.935e-03    4.632e+00
  191   29392    1.092431e+00    2.611e-04    9.005e-03    4.737e+00
  192   29545    1.092356e+00    2.357e-04    6.167e-03    2.575e+00
  193   29698    1.092360e+00    6.897e-05    2.263e-03    2.055e+00
  194   29851    1.092367e+00    1.452e-05    5.371e-04    1.435e+00
  195   30004    1.092369e+00    8.912e-07    7.770e-05    2.876e-01
  196   30157    1.092369e+00    1.478e-08    5.524e-05    3.631e-02
  197   30310    1.092369e+00    2.900e-08    5.523e-05    4.814e-02
  198   30463    1.092369e+00    7.445e-08    5.523e-05    7.581e-02
  199   30616    1.092368e+00    1.927e-07    1.118e-04    1.204e-01
  200   30769    1.092368e+00    4.898e-07    2.377e-04    1.881e-01
  201   30922    1.092366e+00    1.210e-06    4.276e-04    2.867e-01
  202   31075    1.092363e+00    2.997e-06    6.979e-04    4.190e-01
  203   31228    1.092353e+00    8.014e-06    1.155e-03    5.706e-01
  204   31381    1.092328e+00    2.092e-05    1.901e-03    7.373e-01
  205   31534    1.092266e+00    7.821e-05    3.171e-03    1.374e+00
  206   31687    1.092127e+00    2.745e-04    5.020e-03    3.969e+00
  207   31840    1.091874e+00    5.928e-04    6.815e-03    9.520e+00
  208   31993    1.091606e+00    1.011e-03    6.631e-03    1.384e+01
  209   32146    1.091519e+00    3.874e-04    5.385e-03    8.708e+00
  210   32299    1.091543e+00    4.560e-05    1.492e-03    1.384e+00

                                            First-order      Norm of
 Iter F-count            f(x)  Feasibility   optimality         step
  211   32452    1.091555e+00    1.176e-05    3.262e-04    8.850e-01
  212   32605    1.091557e+00    3.279e-07    3.706e-05    2.109e-01
  213   32758    1.091557e+00    1.065e-09    1.395e-05    1.398e-02
  214   32911    1.091557e+00    1.956e-09    1.393e-05    1.286e-02
  215   33064    1.091557e+00    6.707e-09    2.104e-05    1.850e-02
  216   33217    1.091557e+00    1.774e-08    4.143e-05    2.724e-02
  217   33370    1.091557e+00    4.530e-08    7.198e-05    4.268e-02
  218   33523    1.091557e+00    1.216e-07    1.190e-04    6.941e-02
  219   33676    1.091556e+00    3.246e-07    1.913e-04    1.119e-01
  220   33829    1.091556e+00    9.105e-07    3.093e-04    1.845e-01
  221   33982    1.091554e+00    2.595e-06    5.172e-04    3.087e-01
  222   34135    1.091549e+00    7.728e-06    9.234e-04    5.497e-01
  223   34288    1.091538e+00    2.291e-05    1.708e-03    1.059e+00
  224   34441    1.091511e+00    6.294e-05    3.153e-03    2.178e+00
  225   34594    1.091458e+00    1.291e-04    5.327e-03    4.158e+00
  226   34747    1.091392e+00    6.611e-05    6.725e-03    5.559e+00
  227   34900    1.091363e+00    8.649e-05    4.982e-03    3.186e+00
  228   35053    1.091366e+00    3.866e-05    1.493e-03    1.231e+00
  229   35206    1.091372e+00    2.172e-06    2.045e-04    4.242e-01
  230   35359    1.091373e+00    1.898e-08    1.887e-05    7.535e-02
  231   35512    1.091373e+00    2.278e-10    8.000e-06    5.635e-03
  232   35665    1.091250e+00    7.382e-06    2.820e-04    8.486e-01
  233   35818    1.091250e+00    2.124e-07    5.059e-05    2.079e-01
  234   35971    1.091250e+00    3.974e-09    6.590e-06    2.467e-02
  235   36124    1.091250e+00    2.676e-10    6.596e-06    5.894e-03
  236   36277    1.091250e+00    2.705e-09    1.570e-05    1.848e-02
  237   36430    1.091250e+00    1.711e-08    5.093e-05    4.583e-02
  238   36583    1.091250e+00    2.629e-08    9.392e-05    5.595e-02
  239   36736    1.091250e+00    9.279e-08    1.799e-04    1.046e-01
  240   36889    1.091249e+00    2.287e-07    3.168e-04    1.639e-01

                                            First-order      Norm of
 Iter F-count            f(x)  Feasibility   optimality         step
  241   37042    1.091249e+00    6.371e-07    5.530e-04    2.792e-01
  242   37195    1.091248e+00    1.811e-06    9.367e-04    4.601e-01
  243   37348    1.091244e+00    4.879e-06    1.541e-03    7.929e-01
  244   37501    1.091237e+00    9.056e-06    2.305e-03    1.362e+00
  245   37654    1.091223e+00    1.321e-05    2.939e-03    2.257e+00
  246   37807    1.091210e+00    5.238e-05    3.276e-03    2.587e+00
  247   37960    1.091209e+00    1.866e-05    2.045e-03    1.172e+00
  248   38113    1.091210e+00    3.399e-06    6.079e-04    3.011e-01
  249   38266    1.091211e+00    1.706e-07    8.449e-05    1.416e-01
  250   38419    1.091211e+00    2.740e-09    5.571e-06    2.188e-02
  251   38572    1.091211e+00    4.701e-11    3.430e-06    2.189e-03
  252   38725    1.091211e+00    3.655e-10    7.630e-06    5.990e-03
  253   38878    1.091211e+00    4.844e-09    3.041e-05    2.244e-02
  254   39031    1.091211e+00    1.398e-08    6.728e-05    3.687e-02
  255   39184    1.091211e+00    2.408e-08    1.150e-04    4.859e-02
  256   39337    1.091211e+00    6.953e-08    1.952e-04    8.314e-02
  257   39490    1.091211e+00    1.587e-07    3.119e-04    1.265e-01
  258   39643    1.091210e+00    3.958e-07    4.784e-04    1.988e-01
  259   39796    1.091210e+00    1.172e-06    6.791e-04    3.079e-01
  260   39949    1.091208e+00    3.448e-06    9.236e-04    5.085e-01
  261   40102    1.091205e+00    8.868e-06    1.323e-03    9.636e-01
  262   40255    1.091199e+00    1.439e-05    2.042e-03    1.871e+00
  263   40408    1.091192e+00    1.531e-05    2.294e-03    2.648e+00
  264   40561    1.091190e+00    2.368e-05    1.480e-03    1.902e+00
  265   40714    1.091190e+00    3.409e-06    6.390e-04    6.146e-01
  266   40867    1.091191e+00    3.763e-07    1.308e-04    2.075e-01
  267   41020    1.091191e+00    3.242e-09    1.350e-05    4.432e-02
  268   41173    1.091191e+00    1.141e-10    2.779e-06    3.951e-03
  269   41326    1.091191e+00    3.299e-10    6.952e-06    6.544e-03
  270   41479    1.091191e+00    9.278e-10    1.884e-05    1.148e-02

                                            First-order      Norm of
 Iter F-count            f(x)  Feasibility   optimality         step
  271   41632    1.091191e+00    1.902e-09    3.578e-05    1.631e-02
  272   41785    1.091191e+00    6.195e-09    6.633e-05    2.946e-02
  273   41938    1.091191e+00    1.419e-08    1.121e-04    4.398e-02
  274   42091    1.091191e+00    4.006e-08    1.888e-04    7.420e-02
  275   42244    1.091191e+00    9.442e-08    3.048e-04    1.129e-01
  276   42397    1.091190e+00    2.468e-07    4.886e-04    1.814e-01
  277   42550    1.091190e+00    5.791e-07    7.609e-04    2.824e-01
  278   42703    1.091190e+00    1.228e-06    1.133e-03    4.461e-01
  279   42856    1.091188e+00    2.402e-06    1.542e-03    7.616e-01
  280   43009    1.091185e+00    5.185e-06    2.200e-03    1.479e+00
  281   43162    1.091179e+00    8.060e-06    3.118e-03    2.844e+00
  282   43315    1.091173e+00    1.484e-05    3.246e-03    3.926e+00
  283   43468    1.091171e+00    2.593e-05    2.381e-03    2.750e+00
  284   43621    1.091172e+00    4.842e-06    9.967e-04    8.049e-01
  285   43774    1.091172e+00    1.589e-07    1.759e-04    2.668e-01
  286   43927    1.091172e+00    1.640e-09    1.402e-05    4.857e-02
  287   44080    1.091172e+00    3.964e-11    1.600e-06    4.396e-03
  288   44233    1.091146e+00    1.842e-07    1.216e-04    2.430e-01
  289   44386    1.091146e+00    5.598e-09    4.565e-06    3.870e-02
  290   44539    1.091146e+00    7.964e-11    1.670e-06    7.381e-03
  291   44692    1.091146e+00    8.720e-12    8.886e-07    2.361e-03

Feasible point with lower objective function value found.


Local minimum found that satisfies the constraints.

Optimization completed because the objective function is non-decreasing in 
feasible directions, to within the value of the optimality tolerance,
and constraints are satisfied to within the value of the constraint tolerance.

<stopping criteria details>
Elapsed time is 4.106091 seconds.
>> 
